"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","clouddriver-ADS","clouddriver-GINI -ADS","clouddriver-AIS","clouddriver-GINI -AIS","echo-ADS","echo-GINI -ADS","echo-AIS","echo-GINI -AIS","fiat-ADS","fiat-GINI -ADS","fiat-AIS","fiat-GINI -AIS","front50-ADS","front50-GINI -ADS","front50-AIS","front50-GINI -AIS","gate-ADS","gate-GINI -ADS","gate-AIS","gate-GINI -AIS","igor-ADS","igor-GINI -ADS","igor-AIS","igor-GINI -AIS","kayenta-ADS","kayenta-GINI -ADS","kayenta-AIS","kayenta-GINI -AIS","orca-ADS","orca-GINI -ADS","orca-AIS","orca-GINI -AIS","rosco-ADS","rosco-GINI -ADS","rosco-AIS","rosco-GINI -AIS"
"0","0.4583333","0.2678571","0.375","2.625","1.0","0","4.0","0","2.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","7.0","0","0.0","0","2.0","0","2.0","0","0.0","","0.0","","6.0","0","2.0","0","0.0","0","2.0","0"
"1","0.5410628","0.2608696","0.3194444444444444","2.5555555555555554","1.0","0","4.0","0","2.0","0","3.0","0","2.0","0","4.0","0","1.0","0","4.0","0","8.0","0.03333333","0.0","0","2.0","0","2.0","0","0.0","0","2.0","0","7.0","0.03846154","2.0","0","0.0","0","2.0","0"
"2","0.5252525","0.2525253","0.3055555555555556","2.4444444444444446","1.0","0","4.0","0","2.0","0","3.0","0","2.0","0","3.0","0.06060606","1.0","0","4.0","0","7.0","0.03030303","0.0","0","2.0","0","2.0","0","0.0","0","2.0","0","7.0","0.03333333","2.0","0","0.0","0","2.0","0"
"3","0.5410628","0.2608696","0.3194444444444444","2.5555555555555554","1.0","0","4.0","0","2.0","0","3.0","0","2.0","0","4.0","0.05","1.0","0","4.0","0","8.0","0.03333333","0.0","0","2.0","0","2.0","0","0.0","0","2.0","0","7.0","0.02777778","2.0","0","0.0","0","2.0","0"
"4","0.5410628","0.2608696","0.3194444444444444","2.5555555555555554","1.0","0","4.0","0","2.0","0","3.0","0","2.0","0","4.0","0.04210526","1.0","0","4.0","0","8.0","0.03157895","0.0","0","2.0","0","2.0","0","0.0","0","2.0","0","7.0","0.02352941","2.0","0","0.0","0","2.0","0"
"5","0.5370370","0.25","0.3333333333333333","2.6666666666666665","1.0","0","4.0","0","3.0","0.06410256","3.0","0","2.0","0","4.0","0.03623188","1.0","0","4.0","0","8.0","0.02898551","0.0","0","2.0","0","3.0","0.06410256","0.0","0","2.0","0","7.0","0.02032520","2.0","0","0.0","0","2.0","0"
"6","0.5370370","0.25","0.3333333333333333","2.6666666666666665","1.0","0","4.0","0","3.0","0.08928571","3.0","0","2.0","0","4.0","0.03174603","1.0","0","4.0","0","8.0","0.02645503","0.0","0","2.0","0","3.0","0.08928571","0.0","0","2.0","0","7.0","0.01785714","2.0","0","0.0","0","2.0","0"
"7","0.5314010","0.2608696","0.3194444444444444","2.5555555555555554","1.0","0","4.0","0","3.0","0.09868421","3.0","0","2.0","0","4.0","0.02822581","1.0","0","4.0","0","8.0","0.02419355","0.0","0","2.0","0","2.0","0.08333333","0.0","0","2.0","0","6.0","0.02777778","2.0","0","0.0","0","2.0","0"
"8","0.4977778","0.2755556","0.3472222222222222","2.7777777777777777","1.0","0","4.0","0","3.0","0.1010101","3.0","0","3.0","0.04678363","5.0","0.04938272","1.0","0","4.0","0","8.0","0.02222222","0.0","0","3.0","0.04678363","3.0","0.09523810","0.0","0","2.0","0","6.0","0.03333333","2.0","0","0.0","0","2.0","0"
"9","0.4977778","0.2755556","0.3472222222222222","2.7777777777777777","1.0","0","4.0","0","3.0","0.1","3.0","0","3.0","0.07272727","5.0","0.06097561","1.0","0","4.0","0","8.0","0.02051282","0.0","0","3.0","0.07272727","3.0","0.1","0.0","0","2.0","0","6.0","0.03636364","2.0","0","0.0","0","2.0","0"
"10","0.4957265","0.2991453","0.3611111111111111","2.888888888888889","1.0","0","4.0","0","4.0","0.1253918","3.0","0","3.0","0.08727273","6.0","0.08510638","1.0","0","4.0","0","8.0","0.01902748","0.0","0","3.0","0.08727273","3.0","0.1010101","0.0","0","2.0","0","6.0","0.03787879","2.0","0","0.0","0","2.0","0"
"11","0.4957265","0.2991453","0.3611111111111111","2.888888888888889","1.0","0","4.0","0","4.0","0.1388889","3.0","0","3.0","0.09523810","6.0","0.09905660","1.0","0","4.0","0","8.0","0.01773050","0.0","0","3.0","0.09523810","3.0","0.1","0.0","0","2.0","0","6.0","0.03846154","2.0","0","0.0","0","2.0","0"
"12","0.4957265","0.2991453","0.3611111111111111","2.888888888888889","1.0","0","4.0","0","4.0","0.1455301","3.0","0","3.0","0.09925558","6.0","0.1069100","1.0","0","4.0","0","8.0","0.01659125","0.0","0","3.0","0.09925558","3.0","0.09790210","0.0","0","2.0","0","6.0","0.03846154","2.0","0","0.0","0","2.0","0"
"13","0.4957265","0.2991453","0.3611111111111111","2.888888888888889","1.0","0","4.0","0","4.0","0.1480836","3.0","0","3.0","0.1008403","6.0","0.1109890","1.0","0","4.0","0","8.0","0.01558442","0.0","0","3.0","0.1008403","3.0","0.09523810","0.0","0","2.0","0","6.0","0.03809524","2.0","0","0.0","0","2.0","0"
"14","0.4957265","0.2991453","0.3611111111111111","2.888888888888889","1.0","0","4.0","0","4.0","0.1481481","3.0","0","3.0","0.1009009","6.0","0.1126761","1.0","0","4.0","0","8.0","0.01468927","0.0","0","3.0","0.1009009","3.0","0.09230769","0.0","0","2.0","0","6.0","0.0375","2.0","0","0.0","0","2.0","0"
"15","0.4855967","0.3127572","0.375","3.0","1.0","0","4.0","0","4.0","0.1466837","3.0","0","3.0","0.1","6.0","0.1128247","1.0","0","5.0","0.01442308","8.0","0.01388889","0.0","0","4.0","0.1204268","3.0","0.08928571","0.0","0","2.0","0","6.0","0.03676471","2.0","0","0.0","0","2.0","0"
"16","0.4855967","0.3127572","0.375","3.0","1.0","0","4.0","0","4.0","0.1442841","3.0","0","3.0","0.09849521","6.0","0.1119773","1.0","0","5.0","0.02521008","8.0","0.01316945","0.0","0","4.0","0.1333333","3.0","0.08627451","0.0","0","2.0","0","6.0","0.03594771","2.0","0","0.0","0","2.0","0"
