"release","clouddriver-ADS","clouddriver-AIS","clouddriver-ACS","clouddriver-RCS","clouddriver-RIS","echo-ADS","echo-AIS","echo-ACS","echo-RCS","echo-RIS","fiat-ADS","fiat-AIS","fiat-ACS","fiat-RCS","fiat-RIS","front50-ADS","front50-AIS","front50-ACS","front50-RCS","front50-RIS","gate-ADS","gate-AIS","gate-ACS","gate-RCS","gate-RIS","igor-ADS","igor-AIS","igor-ACS","igor-RCS","igor-RIS","kayenta-ADS","kayenta-AIS","kayenta-ACS","kayenta-RCS","kayenta-RIS","orca-ADS","orca-AIS","orca-ACS","orca-RCS","orca-RIS","rosco-ADS","rosco-AIS","rosco-ACS","rosco-RCS","rosco-RIS"
"1","1.0","4.0","4.0","0.125","0.5","2.0","3.0","6.0","0.25","0.375","2.0","4.0","8.0","0.25","0.5","1.0","4.0","4.0","0.125","0.5","7.0","0.0","0.0","0.875","0.0","2.0","2.0","4.0","0.25","0.25","0.0","0.0","0.0","0.0","0.0","6.0","2.0","12.0","0.75","0.25","0.0","2.0","0.0","0.0","0.25"
"2","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","8.0","0.0","0.0","0.8888888888888888","0.0","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","7.0","2.0","14.0","0.7777777777777778","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222"
"3","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","7.0","0.0","0.0","0.7777777777777778","0.0","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","7.0","2.0","14.0","0.7777777777777778","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222"
"4","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","8.0","0.0","0.0","0.8888888888888888","0.0","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","7.0","2.0","14.0","0.7777777777777778","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222"
"5","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","8.0","0.0","0.0","0.8888888888888888","0.0","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","7.0","2.0","14.0","0.7777777777777778","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222"
"6","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","8.0","0.0","0.0","0.8888888888888888","0.0","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","0.0","2.0","0.0","0.0","0.2222222222222222","7.0","2.0","14.0","0.7777777777777778","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222"
"7","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","8.0","0.0","0.0","0.8888888888888888","0.0","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","0.0","2.0","0.0","0.0","0.2222222222222222","7.0","2.0","14.0","0.7777777777777778","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222"
"8","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","2.0","4.0","8.0","0.2222222222222222","0.4444444444444444","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","8.0","0.0","0.0","0.8888888888888888","0.0","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222"
"9","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","3.0","5.0","15.0","0.3333333333333333","0.5555555555555556","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","8.0","0.0","0.0","0.8888888888888888","0.0","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","0.0","2.0","0.0","0.0","0.2222222222222222","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222"
"10","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","3.0","5.0","15.0","0.3333333333333333","0.5555555555555556","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","8.0","0.0","0.0","0.8888888888888888","0.0","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","0.0","2.0","0.0","0.0","0.2222222222222222","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222"
"11","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","4.0","3.0","12.0","0.4444444444444444","0.3333333333333333","3.0","6.0","18.0","0.3333333333333333","0.6666666666666666","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","8.0","0.0","0.0","0.8888888888888888","0.0","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","0.0","2.0","0.0","0.0","0.2222222222222222","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222"
"12","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","4.0","3.0","12.0","0.4444444444444444","0.3333333333333333","3.0","6.0","18.0","0.3333333333333333","0.6666666666666666","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","8.0","0.0","0.0","0.8888888888888888","0.0","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","0.0","2.0","0.0","0.0","0.2222222222222222","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222"
"13","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","4.0","3.0","12.0","0.4444444444444444","0.3333333333333333","3.0","6.0","18.0","0.3333333333333333","0.6666666666666666","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","8.0","0.0","0.0","0.8888888888888888","0.0","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","0.0","2.0","0.0","0.0","0.2222222222222222","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222"
"14","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","4.0","3.0","12.0","0.4444444444444444","0.3333333333333333","3.0","6.0","18.0","0.3333333333333333","0.6666666666666666","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","8.0","0.0","0.0","0.8888888888888888","0.0","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","0.0","2.0","0.0","0.0","0.2222222222222222","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222"
"15","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","4.0","3.0","12.0","0.4444444444444444","0.3333333333333333","3.0","6.0","18.0","0.3333333333333333","0.6666666666666666","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","8.0","0.0","0.0","0.8888888888888888","0.0","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","0.0","2.0","0.0","0.0","0.2222222222222222","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222"
"16","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","4.0","3.0","12.0","0.4444444444444444","0.3333333333333333","3.0","6.0","18.0","0.3333333333333333","0.6666666666666666","1.0","5.0","5.0","0.1111111111111111","0.5555555555555556","8.0","0.0","0.0","0.8888888888888888","0.0","4.0","3.0","12.0","0.4444444444444444","0.3333333333333333","0.0","2.0","0.0","0.0","0.2222222222222222","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222"
"17","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","4.0","3.0","12.0","0.4444444444444444","0.3333333333333333","3.0","6.0","18.0","0.3333333333333333","0.6666666666666666","1.0","5.0","5.0","0.1111111111111111","0.5555555555555556","8.0","0.0","0.0","0.8888888888888888","0.0","4.0","3.0","12.0","0.4444444444444444","0.3333333333333333","0.0","2.0","0.0","0.0","0.2222222222222222","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","0.0","2.0","0.0","0.0","0.2222222222222222"
